Bank_Name,Cust_Name,Account_No,Loan_Type,Due_Amount,Due_Date,Priority,Recovered_by_Agent,Recovered_by_AI,Recovered_by_Field_Agent,Recovered_Date,Recovered_Amount,Remaining_Due_Amount
HDFC Bank,Francisco Paul,XXXX8634,House,147662.56,24-08-2024,Low,,1,,10-04-2024,400285.03,37889.44
Axis Bank,Lisa Adams DVM,XXXX5535,Car,64847.12,01-10-2024,Medium,,,1,26-07-2024,,0
HDFC Bank,Christopher Sanchez,XXXX8007,House,76171.24,13-07-2024,High,,1,,03-07-2024,204931.57,8030.98
HDFC Bank,Robert Richardson,XXXX5078,House,127506.78,19-07-2025,Medium,1,,,31-08-2025,,0
Kotak Mahindra,Joshua Wilson,XXXX2387,Car,471051.74,08-08-2024,High,1,,,09-01-2024,252566.09,27526.37
Axis Bank,John Griffith,XXXX3579,Car,295392.57,19-10-2023,High,1,,,18-07-2023,,0
Kotak Mahindra,Amanda Johnson,XXXX8295,House,453325.17,14-02-2024,Low,,1,,01-09-2024,99060.9,7992.73
ICICI Bank,Michele Flynn,XXXX7128,Car,324753.12,27-12-2023,High,,1,,07-09-2023,,0
HDFC Bank,Kim Marshall,XXXX9526,House,277011.67,21-04-2025,High,1,,,17-09-2025,,0
Kotak Mahindra,Robert Elliott,XXXX9974,Car,454900.55,20-05-2025,Medium,1,,,26-11-2025,254424.89,6585.59
Kotak Mahindra,Sherri Moore,XXXX9927,House,216416.17,16-07-2024,High,1,,,27-09-2024,,0
SBI,Ryan Stafford,XXXX2652,Car,445786.41,26-02-2024,Medium,1,,,25-10-2024,395280.09,34555.39
Kotak Mahindra,Victoria Nichols,XXXX7398,House,205440.34,22-02-2024,Medium,1,,,01-11-2024,147738.97,1827.35
SBI,Justin Jackson,XXXX2579,House,81457.37,23-01-2024,Medium,,1,,11-08-2024,275062.83,24933.73
HDFC Bank,Eric Henderson,XXXX2631,House,445541.94,19-12-2023,Low,1,,,18-05-2023,251983.55,2227.66
ICICI Bank,Michael Chavez MD,XXXX4380,Car,246625.38,27-01-2025,Low,1,,,29-08-2025,,0
Axis Bank,Jasmine Walker,XXXX2600,Car,188204.75,15-06-2025,Medium,,1,,10-02-2025,301462.19,12320.66
Kotak Mahindra,Bryan Moore,XXXX5345,Car,358259.08,21-01-2024,Low,1,,,13-07-2024,462155.64,12126.04
Kotak Mahindra,Leah Newton,XXXX3197,House,306680.16,08-08-2023,High,,1,,03-02-2023,168991.25,8894.14
Axis Bank,Jesse Hicks,XXXX6691,Car,472085.64,03-05-2024,Low,1,,,28-06-2024,439005.21,34107.81
ICICI Bank,Linda Rice,XXXX5537,House,477469.04,17-05-2025,Low,,1,,09-11-2025,178259.94,76.43
HDFC Bank,Kimberly Peterson,XXXX9783,House,103879.94,24-12-2024,Medium,,1,,21-04-2024,54335.94,3798.74
Kotak Mahindra,Christopher Duncan,XXXX2271,House,468916.39,20-03-2025,High,,1,,09-08-2025,109093.27,7130.39
Axis Bank,Matthew James,XXXX6635,Car,457946.33,12-06-2024,High,,,1,28-03-2024,175724.72,17841.18
Kotak Mahindra,Kevin Lee,XXXX8685,Car,115907.21,13-01-2024,Low,,1,,24-12-2024,158723.31,17361.82
Axis Bank,Alexis Larsen,XXXX2663,House,162803.71,09-01-2024,Low,,1,,28-03-2024,,0
SBI,Mary Villegas,XXXX7969,House,190877.08,06-03-2024,Medium,,,1,19-11-2024,344349.34,31056.37
ICICI Bank,Virginia Stone,XXXX2363,Car,428044,23-07-2024,Medium,1,,,05-02-2024,428877.75,20263.56
ICICI Bank,Devin Rodriguez,XXXX4463,Car,111894.67,13-03-2025,Medium,,1,,12-05-2025,,0
HDFC Bank,Susan Norman,XXXX6586,House,463524.13,23-08-2023,Medium,1,,,20-09-2023,,0
ICICI Bank,Anthony Price,XXXX5971,Car,402204.18,03-09-2024,Low,1,,,21-12-2024,391757.61,26575.08
HDFC Bank,Michele Mayo,XXXX5325,Car,192581.87,22-07-2025,Medium,,1,,07-01-2025,329261.29,20490.51
ICICI Bank,James Graves,XXXX9678,House,203171.9,26-04-2025,Medium,,,1,24-06-2025,,0
ICICI Bank,Joseph Gibson,XXXX5147,Car,416038,20-05-2025,High,,1,,26-02-2025,53151.99,2604.83
Axis Bank,Brittany Walker,XXXX9671,House,50897.12,28-03-2024,High,,1,,04-08-2024,58348.58,232.02
SBI,Jenna Scott,XXXX9594,House,360279.47,01-08-2024,High,1,,,20-07-2024,406876.34,32251.55
Kotak Mahindra,Ashley Martin,XXXX8577,Car,80990.73,09-08-2023,Low,,1,,15-07-2023,,0
HDFC Bank,Edward Cooper,XXXX8239,Car,56489.41,04-12-2023,Low,,1,,20-05-2023,397696.72,33418.98
SBI,Angela King,XXXX3935,Car,326590.82,29-08-2024,Low,,1,,05-02-2024,446964.12,42254.1
Kotak Mahindra,Kenneth Williams,XXXX7004,Car,251912.08,20-11-2023,High,,1,,19-04-2023,396222.1,14742.63
HDFC Bank,Michelle Collins,XXXX4915,House,229217.22,12-07-2024,Medium,1,,,01-04-2024,,0
Kotak Mahindra,Stefanie Thomas,XXXX4867,Car,92727.38,16-07-2025,Low,1,,,24-10-2025,133934.48,12277.44
HDFC Bank,Jason Owen,XXXX4777,Car,149250.91,23-02-2025,Medium,,1,,08-09-2025,213441.23,22084.33
ICICI Bank,Jonathan Smith,XXXX9082,House,436284.14,05-05-2025,High,1,,,21-12-2025,399564.9,30349.34
ICICI Bank,Adam Turner,XXXX2573,Car,272964.69,08-07-2025,High,,1,,12-12-2025,,0
Kotak Mahindra,Peter Adams,XXXX5710,House,338838.38,10-05-2024,Low,,1,,06-08-2024,,0
Kotak Mahindra,Carl Parker,XXXX2496,House,90606.06,05-10-2024,High,,1,,12-11-2024,284195.46,1355.05
SBI,Cindy Schwartz,XXXX9409,House,427439.38,22-04-2025,Low,,1,,27-09-2025,81663.4,8020.78
HDFC Bank,Jonathan Esparza,XXXX2804,Car,283398.06,29-11-2023,Low,,1,,05-10-2023,332054.05,19640.71
Kotak Mahindra,David Wolfe,XXXX1161,Car,372651.55,19-03-2025,High,,1,,11-11-2025,59013.68,4042.24
HDFC Bank,Kristina Mclaughlin,XXXX4415,House,415246.68,17-12-2023,High,,1,,02-08-2023,327070.68,27780.89
Kotak Mahindra,William Ball,XXXX5267,Car,248974.72,16-11-2023,High,1,,,24-12-2023,50219.42,4936.39
HDFC Bank,Jeffrey Jones,XXXX4378,Car,176636.93,19-02-2024,Low,1,,,03-07-2024,475771.23,22211.75
Kotak Mahindra,Jacob Jones,XXXX2444,Car,334608.89,23-01-2024,Low,1,,,06-09-2024,453864.31,37355.88
ICICI Bank,Sonya Craig,XXXX9943,House,80315.43,23-10-2023,High,1,,,11-02-2023,201879.03,6503.49
SBI,Melanie Smith,XXXX6807,House,345146.56,02-11-2023,Low,1,,,31-10-2023,215085.19,6766.08
HDFC Bank,Alyssa Welch,XXXX2381,House,382092.78,12-06-2025,Low,1,,,13-10-2025,219037.16,21616.23
ICICI Bank,Anthony Jordan,XXXX2857,House,100213.34,21-05-2025,Low,,,1,10-07-2025,381361.78,35312.61
Axis Bank,Angela Ortega,XXXX2563,Car,337213.97,22-12-2023,Medium,,1,,15-08-2023,49728.47,2015.67
ICICI Bank,Keith Koch,XXXX4454,House,73277.36,15-01-2024,Medium,,1,,11-04-2024,402352.63,14171.14
Kotak Mahindra,Carlos Burton,XXXX7789,Car,465199.34,15-01-2025,Medium,,,1,25-03-2025,195733.25,18897.11
ICICI Bank,Joshua Allen,XXXX5987,Car,288004.08,05-12-2024,Medium,,1,,24-07-2024,303707.74,6292.75
ICICI Bank,Monica Kelly,XXXX3890,House,255737.54,13-07-2025,Medium,,1,,25-07-2025,204039.6,4055.91
Kotak Mahindra,Allison Johnson,XXXX2325,House,87341.42,02-12-2024,High,1,,,29-03-2024,439460.9,5668.29
HDFC Bank,Edwin Crawford,XXXX6773,House,435801.44,25-06-2025,Low,,,1,04-12-2025,121459.59,7311.34
Axis Bank,Rebecca Smith,XXXX6471,Car,133503.82,01-11-2024,Medium,1,,,28-01-2024,356960.28,22267.05
SBI,Juan Dennis,XXXX4911,Car,282731.59,07-07-2025,High,,1,,28-10-2025,302678.51,15744.58
Kotak Mahindra,Erica Shaw,XXXX5529,House,366617.36,01-04-2024,High,1,,,30-08-2024,257500.11,28242.55
ICICI Bank,Donald Ortega,XXXX2272,Car,159244.06,27-11-2024,Low,1,,,25-02-2024,209654.9,14673.84
SBI,Emily Stark,XXXX8557,House,66821.28,20-04-2024,Low,,1,,18-01-2024,,0
ICICI Bank,Angela Hicks,XXXX1610,House,170085.99,02-03-2024,Low,,1,,03-11-2024,266472.06,24220.96
Axis Bank,April Simmons,XXXX7192,House,183685.61,29-06-2025,Medium,1,,,11-07-2025,249734.75,1843.39
HDFC Bank,Maxwell Andersen,XXXX6523,House,244492.24,15-10-2024,Low,1,,,29-04-2024,,0
Kotak Mahindra,Sierra Bennett,XXXX2935,Car,479171.78,03-11-2023,High,1,,,12-02-2023,402324.86,3986.86
Kotak Mahindra,Wesley Peters,XXXX7675,House,441408.44,26-02-2025,High,1,,,28-11-2025,283261.87,203.08
SBI,Michael Johnson,XXXX1250,House,148644.29,01-04-2025,Medium,1,,,01-03-2025,408767.39,18096.96
Axis Bank,Jermaine Harris,XXXX2140,House,112929.18,10-05-2024,High,,1,,20-05-2024,221453.66,22509.9
Kotak Mahindra,Bridget Lawson,XXXX6860,House,63021.58,04-04-2025,Low,,1,,01-12-2025,293740.33,22726.8
Kotak Mahindra,Gregory Rice,XXXX6221,House,173154.49,21-06-2025,Low,1,,,13-09-2025,344560.84,35131.02
Axis Bank,Melinda Rodgers,XXXX7628,House,495765.71,17-04-2024,Medium,,1,,20-10-2024,72718.09,2853.6
SBI,Briana Allen,XXXX1460,Car,289938.86,19-12-2023,High,,1,,30-12-2023,416558.89,9816.25
SBI,Meagan Maldonado,XXXX4750,House,272653.86,25-05-2025,Low,1,,,20-12-2025,347111.11,31346.1
Axis Bank,Matthew Brown,XXXX1310,Car,263632.08,13-09-2024,Low,,1,,01-06-2024,443291.71,3213.45
Kotak Mahindra,Kevin Robinson,XXXX7979,House,368026.65,30-06-2025,High,1,,,02-12-2025,,0
Axis Bank,Greg Davies,XXXX9733,House,128380.22,10-05-2024,Low,,1,,08-09-2024,163284.21,2384.94
HDFC Bank,Brian Perez,XXXX5561,House,411407.61,03-10-2023,High,,1,,16-01-2023,,0
ICICI Bank,Edward Woodward,XXXX4168,Car,350270.02,05-12-2023,Low,,1,,27-10-2023,,0
SBI,Barbara Vazquez,XXXX3859,House,194950.24,05-12-2023,Medium,1,,,28-01-2023,,0
Axis Bank,Alexander Aguilar,XXXX1451,House,264353.29,20-02-2024,Medium,,1,,06-10-2024,282309.98,15178.98
Axis Bank,Paul Davis,XXXX5322,Car,217396.2,11-05-2025,High,1,,,25-06-2025,261604.7,17991.36
HDFC Bank,Stacey Porter,XXXX9387,Car,345350.23,19-05-2024,High,,1,,29-11-2024,432755.6,38882.21
ICICI Bank,Thomas King,XXXX1849,House,323588.87,17-12-2024,High,1,,,31-05-2024,450613.38,26672.42
SBI,Jennifer Barnes,XXXX1264,House,396143.52,03-09-2024,High,1,,,18-07-2024,,0
HDFC Bank,Antonio Ramos,XXXX9713,House,80577.52,21-03-2025,Medium,1,,,09-02-2025,,0
ICICI Bank,Drew Flores,XXXX7757,House,216538.59,07-02-2024,Medium,,1,,25-04-2024,304625.56,2269.49
Axis Bank,Tara Bryan,XXXX4736,House,266576.74,03-05-2024,Medium,,1,,24-05-2024,215494.23,14590.72
SBI,Leslie Wilson,XXXX4346,Car,427983.92,26-05-2025,Low,,1,,12-10-2025,,0
HDFC Bank,Timothy Chavez,XXXX6594,Car,195708.4,24-05-2024,Medium,1,,,27-09-2024,216868.26,16772.04
Kotak Mahindra,Kimberly Barton,XXXX6878,House,204175.94,16-04-2024,Low,,1,,08-07-2024,345809.24,10409.54
SBI,Kevin Thompson,XXXX3656,Car,220392.79,26-03-2025,Medium,1,,,02-04-2025,57968.71,4183.42
SBI,Amanda Lee,XXXX6894,Car,276111.09,03-07-2025,Medium,1,,,26-07-2025,439809.39,4498.71
Kotak Mahindra,James Jones,XXXX1333,House,425237.91,04-02-2024,Medium,1,,,28-08-2024,148153.99,16132.92
ICICI Bank,Amanda Swanson,XXXX4600,Car,55056.83,02-11-2024,Low,1,,,13-08-2024,413261.73,12492.03
Kotak Mahindra,Melissa Williams,XXXX1367,House,420533.03,05-10-2023,High,1,,,09-08-2023,443906.07,11841.44
Axis Bank,Shelia Green,XXXX1037,Car,129519.36,18-03-2025,Low,,1,,18-06-2025,,0
Kotak Mahindra,Brian Humphrey,XXXX4264,House,60693.55,27-02-2024,Medium,1,,,28-04-2024,,0
Axis Bank,Rebecca Torres,XXXX1324,House,80178.35,02-05-2025,Medium,1,,,21-02-2025,490528.8,2340.08
SBI,Christine Kennedy,XXXX2154,House,71199.4,13-01-2024,Low,1,,,27-12-2024,238991.12,2793.98
ICICI Bank,Catherine Bullock,XXXX5313,House,301609.1,13-03-2025,Low,1,,,11-01-2025,203243.52,14632.65
ICICI Bank,James Conrad,XXXX3056,House,395569.36,20-02-2025,Low,,1,,07-11-2025,217813.15,5.44
Kotak Mahindra,Kaitlyn Parker MD,XXXX3613,Car,402307.52,29-04-2025,High,,1,,01-03-2025,,0
Axis Bank,Melissa Walter,XXXX5262,Car,200457.02,29-03-2025,Medium,1,,,15-07-2025,352663.02,8056.22
Axis Bank,Mason Hahn,XXXX9980,House,121942.1,11-11-2024,High,,1,,13-03-2024,450016.99,28019.19
ICICI Bank,Jacqueline Mitchell,XXXX7603,Car,452059.44,27-02-2024,High,1,,,21-05-2024,132625.54,4488.17
HDFC Bank,Bethany Smith,XXXX7671,House,107889.95,19-12-2024,Medium,1,,,09-02-2024,,0
ICICI Bank,Alicia Wright,XXXX8808,House,397335.13,10-09-2024,High,,1,,03-11-2024,,0
Axis Bank,Brian Cook,XXXX3785,Car,404442.2,31-05-2025,Low,1,,,13-06-2025,266364.15,16275.54
ICICI Bank,Vincent Maddox,XXXX1101,House,53031.07,14-12-2023,High,,1,,16-11-2023,241384.4,869.85
Kotak Mahindra,Travis White,XXXX9021,Car,435337.58,13-11-2023,Low,,1,,12-09-2023,114838.59,8559.46
Axis Bank,Angela Shaw,XXXX7862,Car,92926.67,02-08-2025,Low,,1,,26-08-2025,,0
HDFC Bank,Jeanne White,XXXX9260,Car,206883.03,26-07-2024,Medium,,1,,12-07-2024,246661.73,22712.6
HDFC Bank,Megan Robertson,XXXX9779,House,444737.21,12-10-2023,Medium,,,1,09-12-2023,191335.97,2993.88
SBI,Nicholas Wong,XXXX1590,Car,415333.97,18-12-2023,High,,1,,01-09-2023,346155.18,5700.74
HDFC Bank,Adam Sutton,XXXX4465,House,468986.89,10-12-2023,High,,1,,08-04-2023,303294.66,20161.53
HDFC Bank,Blake Reyes,XXXX5144,Car,371078.37,27-03-2025,Low,,1,,31-03-2025,,0
Kotak Mahindra,Michelle Barrett,XXXX4644,House,395524.37,07-05-2025,Medium,,1,,18-06-2025,,0
HDFC Bank,Emma Boyer,XXXX2243,Car,169967.04,22-06-2024,Low,,1,,13-12-2024,436090.04,45782.83
Kotak Mahindra,Shawn Lynch,XXXX4018,House,488285.5,09-11-2024,Medium,1,,,31-08-2024,,0
Kotak Mahindra,Matthew Holden,XXXX5607,Car,451189.42,31-05-2024,Low,1,,,11-04-2024,,0
Kotak Mahindra,Michael Buchanan,XXXX6862,House,161635.63,20-02-2025,Medium,,1,,05-11-2025,66306.48,5277
Kotak Mahindra,Nicole Martinez,XXXX8227,House,77968.88,16-12-2024,Low,,1,,10-09-2024,,0
Axis Bank,Paul Gillespie,XXXX6505,Car,143160.47,04-01-2025,Low,1,,,08-07-2025,208157.56,16309.15
HDFC Bank,Dana Jones,XXXX6370,House,455632.93,15-05-2025,High,,1,,09-10-2025,200823.19,9303.04
ICICI Bank,Kevin Casey,XXXX4012,Car,352776.78,14-08-2023,Low,1,,,11-09-2023,424904.25,43936.23
ICICI Bank,Kathleen Flynn,XXXX9951,Car,490884.34,13-09-2023,Medium,1,,,17-05-2023,,0
Axis Bank,Jenny Little,XXXX8648,House,332452.01,31-01-2025,Low,,1,,24-06-2025,,0
Axis Bank,Emily Foster,XXXX6740,Car,340735.27,25-11-2023,Medium,,1,,27-01-2023,,0
Kotak Mahindra,Jared Reed III,XXXX8633,House,364254.41,09-05-2025,Medium,1,,,13-02-2025,53825.05,1201.39
ICICI Bank,Tina Green,XXXX7491,Car,201144.83,31-03-2025,Low,,1,,08-09-2025,236511.86,23389.6
ICICI Bank,Shane Harvey,XXXX7584,Car,390517.84,14-12-2023,Medium,,1,,08-05-2023,116400.59,3551.33
Axis Bank,Donald Tucker,XXXX3852,Car,140231.1,27-05-2025,Low,1,,,19-11-2025,113190.49,9459.82
ICICI Bank,Mr. Timothy Allen,XXXX3809,House,392144.36,11-02-2025,High,,1,,25-12-2025,170588.52,5217.17
Axis Bank,Sara Horton,XXXX6263,Car,301018.14,20-03-2025,Medium,1,,,31-03-2025,283042.62,8785.33
Kotak Mahindra,Sarah Moreno,XXXX2471,House,492327.24,19-04-2025,Medium,1,,,25-12-2025,104500.01,1204.18
HDFC Bank,Mrs. Gabriella Willis,XXXX2505,Car,183618.47,26-10-2023,High,1,,,17-09-2023,96071.86,7883.66
ICICI Bank,Cody Washington,XXXX8253,Car,451793.17,06-02-2024,Low,1,,,08-08-2024,,0
Axis Bank,Marie Long,XXXX6772,Car,132032.69,16-05-2025,High,,1,,07-02-2025,79814.78,6459.76
Kotak Mahindra,Brandon Singleton,XXXX9524,Car,263865.91,14-03-2025,Medium,1,,,26-11-2025,304029.22,29347.15
Kotak Mahindra,Daniel May,XXXX6565,Car,170906.25,31-08-2024,Low,1,,,05-05-2024,333977.18,9555.69
Kotak Mahindra,Brittany Payne,XXXX4307,Car,151649.76,13-02-2024,Medium,,1,,03-04-2024,307000.97,17719.86
SBI,Brandon Mendez,XXXX4941,Car,260328.3,24-03-2025,Medium,,1,,03-02-2025,180924.77,652.65
SBI,Chase Delgado,XXXX1132,House,275505.18,16-10-2023,Medium,1,,,18-12-2023,129009.5,6771.63
SBI,Amy Oconnor,XXXX9218,Car,175458.68,24-08-2023,Medium,,1,,10-02-2023,275948.96,27941.26
HDFC Bank,Shannon Harrington,XXXX8502,Car,185637.14,14-11-2024,High,,1,,15-04-2024,,0
Kotak Mahindra,Kimberly Miller,XXXX9001,Car,84989.05,26-04-2025,High,,1,,09-01-2025,288753.59,14557
Axis Bank,Tyler Johnson,XXXX4647,Car,90191.01,25-11-2023,Medium,,1,,05-09-2023,,0
ICICI Bank,Kathleen Hunt,XXXX3487,House,393618.68,21-04-2024,Medium,1,,,12-01-2024,272612.85,7669.67
SBI,Ronald Thompson,XXXX6270,Car,365823.49,23-05-2024,Medium,1,,,28-11-2024,476262.68,9011.2
ICICI Bank,Leslie Davis,XXXX7214,House,353100.7,20-02-2024,High,,1,,17-01-2024,,0
SBI,Adam Bass,XXXX1022,Car,59846.12,18-05-2024,Low,,1,,07-01-2024,99235.43,9331.29
Kotak Mahindra,Nicole Johnston,XXXX7745,Car,131807.34,21-07-2025,Medium,,1,,22-08-2025,441714.53,29673.69
Kotak Mahindra,Diana Clark,XXXX2815,Car,57493.75,02-10-2023,Medium,1,,,08-05-2023,301835.45,24218.22
Axis Bank,Megan Bell,XXXX4660,Car,319990.96,20-08-2024,High,1,,,14-11-2024,397320.56,33408.5
Axis Bank,Phillip Morris,XXXX4007,House,65923.55,03-02-2024,Medium,,,1,28-10-2024,279211.62,195.11
ICICI Bank,Breanna Perry,XXXX5757,Car,322430.85,23-05-2024,Medium,,1,,03-12-2024,249426.83,16605.75
ICICI Bank,Kristina Forbes,XXXX2137,House,262331.94,09-05-2024,Low,1,,,28-05-2024,56288.26,6000.99
Axis Bank,Jessica Farmer,XXXX5858,House,92467.72,27-05-2024,Medium,1,,,07-08-2024,363242.72,20277.21
Axis Bank,Isaiah Crawford,XXXX8300,Car,309161.93,31-07-2025,High,1,,,08-01-2025,131573.06,7355.02
SBI,Jordan Gilmore,XXXX3126,House,391130.76,26-07-2025,Low,,1,,01-09-2025,243462.26,11781.7
Kotak Mahindra,David Taylor,XXXX7030,Car,172350.63,21-06-2025,Medium,,1,,27-03-2025,177701.07,5966.79
Kotak Mahindra,Terri Evans,XXXX1773,House,65711.27,11-10-2024,Medium,1,,,17-12-2024,220498.37,7826.45
Axis Bank,Jeffrey Ford,XXXX7695,House,72187.96,17-05-2025,Low,1,,,04-07-2025,487343.82,3820.75
ICICI Bank,Matthew Rosales,XXXX1219,House,304499.4,26-10-2023,High,1,,,22-05-2023,,0
Kotak Mahindra,Sharon Adams PhD,XXXX9615,House,72380.3,11-02-2025,Medium,1,,,18-09-2025,180351.22,12166.28
ICICI Bank,Jodi Li,XXXX5386,House,252314.87,17-05-2024,Low,1,,,29-02-2024,132335.33,1702.14
SBI,Julie Carr,XXXX7945,Car,438460.74,03-04-2025,Medium,,1,,09-07-2025,98493.63,3564.36
Axis Bank,Jennifer Skinner,XXXX5570,House,151846.75,21-02-2024,Low,,1,,16-10-2024,,0
HDFC Bank,Kevin Scott,XXXX2715,House,303989.37,17-04-2024,Medium,,1,,08-01-2024,85414.01,5491.22
SBI,Brianna Hooper,XXXX7153,House,487420.25,31-12-2023,High,1,,,21-01-2023,121940.14,8200.66
HDFC Bank,Daniel Newman,XXXX1604,Car,494478.78,29-06-2024,Low,1,,,04-01-2024,126885.55,13459.51
HDFC Bank,Joseph Davis,XXXX9631,Car,117599.01,18-01-2025,High,,1,,03-08-2025,344399.78,31634.33
Kotak Mahindra,Karen Nunez,XXXX8623,Car,444565.45,21-04-2025,Medium,1,,,01-10-2025,391402.87,32405.21
SBI,Jermaine Lewis,XXXX7406,House,205450.55,12-04-2024,Low,,1,,17-04-2024,256913.04,6104.45
Kotak Mahindra,Corey Anthony,XXXX1042,House,370762.35,04-05-2025,Low,,,1,06-10-2025,329988.27,15630.4
ICICI Bank,David Acosta,XXXX6861,House,73210.11,28-07-2025,High,,1,,27-08-2025,460069.86,3747.71
Kotak Mahindra,Wendy Davis,XXXX2262,Car,489686.37,19-02-2024,High,1,,,11-11-2024,,0
Axis Bank,Andrea Roman,XXXX2725,Car,161851.58,06-03-2024,Low,1,,,10-10-2024,249939.85,8888.61
Axis Bank,Stephanie Walker,XXXX7493,Car,224165.77,02-08-2024,Medium,1,,,27-03-2024,212624.87,21010.06
Kotak Mahindra,Erin Bryant,XXXX1395,House,69428.32,22-02-2025,Low,,,1,19-05-2025,128648.92,10120.93
HDFC Bank,Johnny Miller,XXXX7905,Car,373261.39,08-12-2023,High,,1,,07-04-2023,283194.5,26463.05
HDFC Bank,Rebecca Nixon,XXXX5167,House,403412.53,15-01-2024,High,,1,,17-09-2024,54743.78,2028.49
ICICI Bank,Patrick Palmer,XXXX1762,House,90007.07,07-05-2024,High,1,,,05-01-2024,334499.34,7423.94
Axis Bank,Kevin Meyers,XXXX9639,Car,267074.71,15-02-2025,High,1,,,29-05-2025,381579.3,20673.07
HDFC Bank,Dr. Brian Howe,XXXX6500,Car,252334.84,01-08-2025,Medium,1,,,24-06-2025,421182.46,2984.23
HDFC Bank,Courtney Freeman,XXXX6392,Car,469452.36,14-06-2024,Medium,,1,,06-08-2024,182727.6,1324.83
Kotak Mahindra,Mark Dawson,XXXX6736,House,380386.46,01-10-2024,Medium,1,,,26-10-2024,131540.41,1903.84
Kotak Mahindra,Richard Chapman,XXXX2544,House,101984.95,28-08-2024,Low,,1,,12-05-2024,227648.16,1623.6
SBI,Dana Fry,XXXX1054,House,441001.2,18-06-2024,Medium,,1,,10-09-2024,292994.16,910.44
HDFC Bank,Kathryn Brown,XXXX1577,House,244264.81,18-04-2024,Medium,,1,,27-12-2024,379998.59,33926.54
Axis Bank,Traci Arellano,XXXX7793,Car,387287.15,09-05-2024,High,1,,,15-06-2024,259566.58,9354.24
HDFC Bank,Craig Huffman,XXXX5167,House,310646.5,25-10-2023,High,,1,,21-07-2023,197957.84,8463
SBI,Brian Jacobs,XXXX2359,Car,349858.24,10-12-2024,High,,1,,18-07-2024,,0
Kotak Mahindra,Christopher English,XXXX4665,Car,381888.52,01-03-2025,Medium,,1,,13-03-2025,,0
HDFC Bank,Hannah Mckenzie,XXXX9077,House,343020.53,04-04-2024,Low,,1,,12-05-2024,182560.25,17335.6
Kotak Mahindra,Peter Simmons,XXXX8593,Car,478803.3,25-06-2025,High,1,,,02-11-2025,338302.62,30129.39
Axis Bank,Timothy Graves,XXXX5436,House,218958.8,10-11-2024,Low,1,,,09-02-2024,101690.19,2191.17
Axis Bank,Patrick Clark,XXXX9173,House,71978.87,22-02-2024,Medium,1,,,30-03-2024,490951.99,7964.33
Axis Bank,Kyle Parsons,XXXX6828,Car,165425.96,26-01-2025,Medium,1,,,03-12-2025,122546.21,4045.1
